author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Alvin Hemedez,This Layer 2 Blockchain Could Lead Meme Coins Higher This Bull Market as Whales Buy In,"It’s well known that whales often hold the reins to significant profits, leveraging their deep understanding of market trends and… Continue reading This Layer 2 Blockchain Could Lead Meme Coins Higher This Bull Market as Whales Buy In
The post This Layer 2 Bl…",https://readwrite.com/this-layer-2-blockchain-could-lead-meme-coins-higher-this-bull-market-as-whales-buy-in/,https://readwrite.com/wp-content/uploads/2024/07/this-layer-2-blockchain-could-lead-meme-coins-higher-this-bull-market-as-whales-buy-in.jpg,2024-07-31T17:20:15Z,"It’s well known that whales often hold the reins to significant profits, leveraging their deep understanding of market trends and strategic approaches to achieve substantial gains.
In contrast, aver… [+4909 chars]",,ReadWrite
Alvin Hemedez,"Top Altcoins to Invest in Ahead of Bitcoin’s Next Bull Run – $BTC, $SOL, $ETH, $BNB, $XRP, and $99BTC","With Bitcoin (BTC) surging and the market exhibiting greed according to the Fear and Greed Index, it’s an opportune time… Continue reading Top Altcoins to Invest in Ahead of Bitcoin’s Next Bull Run – $BTC, $SOL, $ETH, $BNB, $XRP, and $99BTC
The post Top Altco…",https://readwrite.com/top-altcoins-to-invest-in-ahead-of-bitcoins-next-bull-run-btc-sol-eth-bnb-xrp-and-99btc/,https://readwrite.com/wp-content/uploads/2024/07/top-altcoins-to-invest-in-ahead-of-bitcoin-next-bull-run.jpg,2024-07-31T19:36:05Z,"With Bitcoin (BTC) surging and the market exhibiting greed according to the Fear and Greed Index, it’s an opportune time to consider diversifying your portfolio with altcoin investments.
While meme … [+6891 chars]",,ReadWrite
Alvin Hemedez,"High-Potential Meme Coin Presales That Could Offer Explosive Returns – $MGMES, $SHIBASHOOT, and $PEPU","As the current bull run progresses, it is imperative to examine three promising meme coins. Bitcoin is back, and its… Continue reading High-Potential Meme Coin Presales That Could Offer Explosive Returns – $MGMES, $SHIBASHOOT, and $PEPU
The post High-Potentia…",https://readwrite.com/high-potential-meme-coin-presales-that-could-offer-explosive-returns-mgmes-shibashoot-and-pepu/,https://readwrite.com/wp-content/uploads/2024/07/high-potential-meme-coin-presales-that-could-offer-explosive-returns.jpg,2024-07-30T19:39:36Z,"As the current bull run progresses, it is imperative to examine three promising meme coins. Bitcoin is back, and its resurgence is pumping the entire market.
Retail investors are returning, and inte… [+6494 chars]",,ReadWrite
Alvin Hemedez,Top 4 Meme Coins to Watch in the Upcoming Bull Market,"As the cryptocurrency market gears up for an anticipated bull run, Bitcoin will likely lead with significant gains, followed by… Continue reading Top 4 Meme Coins to Watch in the Upcoming Bull Market
The post Top 4 Meme Coins to Watch in the Upcoming Bull Mar…",https://readwrite.com/top-4-meme-coins-to-watch-in-the-upcoming-bull-market/,https://readwrite.com/wp-content/uploads/2024/07/top-four-meme-coins-to-watch-in-the-upcoming-bull-market.jpg,2024-07-30T10:19:38Z,"As the cryptocurrency market gears up for an anticipated bull run, Bitcoin will likely lead with significant gains, followed by major altcoins like Ethereum and Solana.
Following that, popular meme … [+6435 chars]",,ReadWrite
Alvin Hemedez,How Learning Crypto with 99Bitcoins Can Be Rewarding – Last Chance to Buy,"Having raised $2.5 million in its token presale, 99Bitcoins is poised to revolutionize cryptocurrency investing. Designed as a user-friendly platform… Continue reading How Learning Crypto with 99Bitcoins Can Be Rewarding – Last Chance to Buy
The post How Lear…",https://readwrite.com/how-learning-crypto-with-99bitcoins-can-be-rewarding-last-chance-to-buy/,https://readwrite.com/wp-content/uploads/2024/07/how-learning-crypto-can-be-rewarding-with-the-99bitcoins-learn-to-earn-model.jpg,2024-07-30T17:03:31Z,"Having raised $2.5 million in its token presale, 99Bitcoins is poised to revolutionize cryptocurrency investing.
Designed as a user-friendly platform to simplify complex market dynamics, 99Bitcoins … [+4784 chars]",,ReadWrite
Radek Zielinski,Crypto asset firm Grayscale has lost $20 billion in Bitcoin and Ethereum ETFs,"Leading crypto-specific asset manager Grayscale Investments has lost over $20.4 billion through outflows from its Bitcoin (BTC) and Ethereum (ETH)… Continue reading Crypto asset firm Grayscale has lost $20 billion in Bitcoin and Ethereum ETFs
The post Crypto …",https://readwrite.com/grayscale-bitcoin-ethereum-etf-losses-20-billion/,https://readwrite.com/wp-content/uploads/2024/07/6f232dbd-27a0-45f2-87c6-639075c6ef40.webp,2024-07-30T20:41:13Z,"Leading crypto-specific asset manager Grayscale Investments has lost over $20.4 billion through outflows from its Bitcoin (BTC) and Ethereum (ETH) exchange-traded funds (ETFs).
According to data gat… [+2456 chars]",,ReadWrite
Alvin Hemedez,Hawk Tuah Token’s Rapid Rise and Fall as New Pepe-Themed Meme Coin Hits $6 Million Presale Milestone,"The cryptocurrency market is no stranger to fleeting trends, and the recent surge and subsequent crash of Hawk Tuah (HAWK)… Continue reading Hawk Tuah Token’s Rapid Rise and Fall as New Pepe-Themed Meme Coin Hits $6 Million Presale Milestone
The post Hawk Tua…",https://readwrite.com/hawk-tuah-tokens-rapid-rise-and-fall-as-new-pepe-themed-meme-coin-hits-6-million-presale-milestone/,https://readwrite.com/wp-content/uploads/2024/07/hawk-tuah-token-rapid-rise-and-fall.jpg,2024-07-30T17:53:50Z,"The cryptocurrency market is no stranger to fleeting trends, and the recent surge and subsequent crash of Hawk Tuah (HAWK) is a prime example of this volatility.
Inspired by a viral video featuring … [+5112 chars]",,ReadWrite
Alvin Hemedez,Experts Predict Pepe Will Surge 10x in the Coming Months – Should You Buy PEPE or Consider This Layer 2 Meme Coin?,"Experts predict a big surge for Pepe (PEPE), leading many investors to believe now is the best time to buy… Continue reading Experts Predict Pepe Will Surge 10x in the Coming Months – Should You Buy PEPE or Consider This Layer 2 Meme Coin?
The post Experts Pr…",https://readwrite.com/experts-predict-pepe-will-surge-10x-in-the-coming-months-should-you-buy-pepe-or-consider-this-layer-2-meme-coin/,https://readwrite.com/wp-content/uploads/2024/07/pepe-price-prediction-1.jpg,2024-07-31T12:32:20Z,"Experts predict a big surge for Pepe (PEPE), leading many investors to believe now is the best time to buy in.
The cryptocurrency market is on the rise. Market volume has jumped by 62%, and the Fear… [+5122 chars]",,ReadWrite
Alvin Hemedez,$99BTC Presale Enters Final Stage – Last Chance to Invest in a Platform Combining Education with Earnings,"The 99Bitcoins presale is in its final stages, concluding on August 6th at 2 PM UTC. This Learn-to-Earn project incentivizes… Continue reading $99BTC Presale Enters Final Stage – Last Chance to Invest in a Platform Combining Education with Earnings
The post $…",https://readwrite.com/99btc-presale-enters-final-stage-last-chance-to-invest-in-a-platform-combining-education-with-earnings/,https://readwrite.com/wp-content/uploads/2024/07/99btc-presale-enters-final-stage-last-chance-to-invest-in-a-platform-combining-education-with-earnings.jpg,2024-07-31T17:52:39Z,"The 99Bitcoins presale is in its final stages, concluding on August 6th at 2 PM UTC. This Learn-to-Earn project incentivizes users to gain cryptocurrency knowledge by rewarding them.
This innovative… [+4198 chars]",,ReadWrite
Radek Zielinski,US strategic Bitcoin reserve to be financed by revaluing Fed’s gold,"United States’ strategic Bitcoin (BTC) reserve would be partly financed by revaluing gold certificates held by the Federal Reserve System,… Continue reading US strategic Bitcoin reserve to be financed by revaluing Fed’s gold
The post US strategic Bitcoin rese…",https://readwrite.com/us-strategic-bitcoin-reserve-to-be-financed-by-fed-gold/,https://readwrite.com/wp-content/uploads/2024/07/b39a34b3-1c6a-47b1-ade2-fb55f8ae2510.webp,2024-07-31T14:22:25Z,"United States’ strategic Bitcoin (BTC) reserve would be partly financed by revaluing gold certificates held by the Federal Reserve System, draft legislation shows.
According to a July 30 Coindesk re… [+2038 chars]",,ReadWrite
Alvin Hemedez,"$MEW Token Nearly Doubles in the Last Week, Surpassing Meme Coin Rivals – Can Pepe Unchained Follow Suit Post-Launch?","cat in a dogs world (MEW) has rapidly ascended to a leading position among cat-themed cryptocurrencies. Despite navigating a volatile… Continue reading $MEW Token Nearly Doubles in the Last Week, Surpassing Meme Coin Rivals – Can Pepe Unchained Follow Suit Po…",https://readwrite.com/mew-token-nearly-doubles-in-the-last-week-surpassing-meme-coin-rivals-can-pepe-unchained-follow-suit-post-launch/,https://readwrite.com/wp-content/uploads/2024/07/mew-token-nearly-doubles-in-the-last-week-surpassing-meme-coin-rivals.jpg,2024-07-31T18:44:15Z,"cat in a dogs world (MEW) has rapidly ascended to a leading position among cat-themed cryptocurrencies. Despite navigating a volatile market marked by crashes and Bitcoin’s fluctuations, the coin has… [+5470 chars]",,ReadWrite
Alvin Hemedez,"CatDog Token Rallies 22%, Climbing DEXTools Rankings as Pepe Unchained Presale Heats Up","CatDog (CATDOG), a playful combination of iconic cartoon characters, has made it onto the top 10 Hot Pairs list on… Continue reading CatDog Token Rallies 22%, Climbing DEXTools Rankings as Pepe Unchained Presale Heats Up
The post CatDog Token Rallies 22%, Cli…",https://readwrite.com/catdog-token-rallies-22-climbing-dextools-rankings-as-pepe-unchained-presale-heats-up/,https://readwrite.com/wp-content/uploads/2024/07/catdog-surges-22-and-ranks-among-hot-pairs-on-dextools-amid-pepe-unchained-presale-surge.jpg,2024-07-30T18:29:22Z,"CatDog (CATDOG), a playful combination of iconic cartoon characters, has made it onto the top 10 Hot Pairs list on DEXTools, capturing investor attention with its unique concept and promising early p… [+5694 chars]",,ReadWrite
Alvin Hemedez,BOME Bullish Predictions and a New Layer 2 Meme Coin Poised to Explode in 2024,"Book of Meme (BOME) is one of the top meme coin gainers today, with an 8.42% increase in the past… Continue reading BOME Bullish Predictions and a New Layer 2 Meme Coin Poised to Explode in 2024
The post BOME Bullish Predictions and a New Layer 2 Meme Coin Po…",https://readwrite.com/bome-bullish-predictions-and-a-new-layer-2-meme-coin-poised-to-explode-in-2024/,https://readwrite.com/wp-content/uploads/2024/07/bome-price-predictions.jpg,2024-07-30T12:42:56Z,"Book of Meme (BOME) is one of the top meme coin gainers today, with an 8.42% increase in the past 24 hours and nearly 30% over the past week.
In this article, we’ll examine the coin’s current chart … [+4327 chars]",,ReadWrite
Alvin Hemedez,5 Best Meme Coins to Buy and Hold – TodayTrader’s Top Picks for the Upcoming Bull Run,"As we enter August, we might see a positive trend in the crypto market, which could be a good sign… Continue reading 5 Best Meme Coins to Buy and Hold – TodayTrader’s Top Picks for the Upcoming Bull Run
The post 5 Best Meme Coins to Buy and Hold – TodayTrader…",https://readwrite.com/5-best-meme-coins-to-buy-and-hold-todaytraders-top-picks-for-the-upcoming-bull-run/,https://readwrite.com/wp-content/uploads/2024/07/best-five-meme-coins-to-buy-and-hold.jpg,2024-07-31T09:16:56Z,"As we enter August, we might see a positive trend in the crypto market, which could be a good sign for meme coins and their potential for significant growth.
We’re analyzing the Bitcoin chart, focus… [+6229 chars]",,ReadWrite
Radek Zielinski,Russia eyes crypto legalization amid sanctions pressure,"Russia’s State Duma — the lower house of the Russian Parliament — is reviewing regulation, to possibly legalize cryptocurrencies. The… Continue reading Russia eyes crypto legalization amid sanctions pressure
The post Russia eyes crypto legalization amid sanct…",https://readwrite.com/russia-eyes-crypto-legalization-amid-sanctions-pressure/,https://readwrite.com/wp-content/uploads/2024/07/e9b42b33-ca39-4cb1-93ce-2c2f34651af4.webp,2024-07-30T13:37:03Z,"Russia’s State Duma the lower house of the Russian Parliament is reviewing regulation, to possibly legalize cryptocurrencies.
The State Dumas financial market committee head Anatoly Aksakov told Blo… [+2063 chars]",,ReadWrite
Radek Zielinski,Donald Trump raises $25M during Bitcoin 2024 conference,"Republican presidential candidate Donald Trump raised $25 million during the The Bitcoin 2024 conference. Fox Business reporter Eleanor Terrett announced that… Continue reading Donald Trump raises $25M during Bitcoin 2024 conference
The post Donald Trump rais…",https://readwrite.com/donald-trump-raises-25m-during-bitcoin-2024-conference/,https://readwrite.com/wp-content/uploads/2024/07/21a7fe68-8fbd-44c2-8955-162a8d23f326.webp,2024-07-31T11:57:00Z,"Republican presidential candidate Donald Trump raised $25 million during the The Bitcoin 2024 conference.
Fox Business reporter Eleanor Terrett announced that Trump raised an undisclosed amount of f… [+1883 chars]",,ReadWrite
Alvin Hemedez,Gala Technical Analysis and Price Prediction – Will GALA Surge 40x in 2024?,"The GALA token had a strong bounce back last Monday after a big drop, making it a top altcoin to… Continue reading Gala Technical Analysis and Price Prediction – Will GALA Surge 40x in 2024?
The post Gala Technical Analysis and Price Prediction – Will GALA Su…",https://readwrite.com/gala-technical-analysis-and-price-prediction-will-gala-surge-40x-in-2024/,https://readwrite.com/wp-content/uploads/2024/07/gala-technical-analysis-and-price-prediction.jpg,2024-07-31T14:54:57Z,"The GALA token had a strong bounce back last Monday after a big drop, making it a top altcoin to buy. The question is, what caused this recovery?
In this article, we’ll examine Gala Games from both … [+6692 chars]",,ReadWrite
Alvin Hemedez,Last Chance to Join New AI-Powered Crypto Trading as Presale Ends in Hours,"As the WienerAI presale nears its final hours, with only four hours remaining, this might be the last opportunity to… Continue reading Last Chance to Join New AI-Powered Crypto Trading as Presale Ends in Hours
The post Last Chance to Join New AI-Powered Crypt…",https://readwrite.com/last-chance-to-join-new-ai-powered-crypto-trading-as-presale-ends-in-hours/,https://readwrite.com/wp-content/uploads/2024/07/last-chance-to-join-new-ai-crypto-trading-as-presale-ends-in-hours.jpg,2024-07-31T05:52:19Z,"As the WienerAI presale nears its final hours, with only four hours remaining, this might be the last opportunity to take a comprehensive look at this remarkable project before the presale ends.
Wit… [+3888 chars]",,ReadWrite
Alvin Hemedez,Tamagotchi-Inspired Crypto Presale Nears $6 Million – Could This Be the Next Big GameFi Project?,"A new, unique project combines play-to-earn mechanics with a nostalgic touch, drawing inspiration from the beloved Tamagotchi devices of the… Continue reading Tamagotchi-Inspired Crypto Presale Nears $6 Million – Could This Be the Next Big GameFi Project?
The…",https://readwrite.com/tamagotchi-inspired-crypto-presale-nears-6-million-could-this-be-the-next-big-gamefi-project/,https://readwrite.com/wp-content/uploads/2024/07/tamagotchi-inspired-crypto-presale-nears-6-million.jpg,2024-07-30T19:07:59Z,"A new, unique project combines play-to-earn mechanics with a nostalgic touch, drawing inspiration from the beloved Tamagotchi devices of the 90s.
Currently in its presale phase, PlayDoge has already… [+5280 chars]",,ReadWrite
James Spillane,Chimpzee Meme Coin Motivates People to Join Climate Fight with Passive Income Opportunities,"Chimpzee is encouraging more people to fight climate change and protect animals while allowing them to earn passive income. The… Continue reading Chimpzee Meme Coin Motivates People to Join Climate Fight with Passive Income Opportunities
The post Chimpzee Mem…",https://readwrite.com/chimpzee-meme-coin-motivates-people-to-join-climate-fight-with-passive-income-opportunities/,https://readwrite.com/wp-content/uploads/2024/07/Chimpzee-Helps-all-types-of-animals.jpg,2024-07-31T13:50:58Z,"Chimpzee is encouraging more people to fight climate change and protect animals while allowing them to earn passive income.
The platform uses blockchain to create different income opportunities for … [+4774 chars]",,ReadWrite
Michael Graw,"BlockDAG Leadership Raring to Go All the Way: Team Led by Antony Turner, Co-Founder of SwissOne Capital","In the world of cryptocurrency, strong leadership is crucial for success. Antony Turner, the CEO of BlockDAG, brings over two… Continue reading BlockDAG Leadership Raring to Go All the Way: Team Led by Antony Turner, Co-Founder of SwissOne Capital
The post Bl…",https://readwrite.com/blockdag-leadership-raring-to-go-all-the-way-team-led-by-antony-turner-co-founder-of-swissone-capital/,https://www.techopedia.com/wp-content/uploads/2024/07/image1-5-1.png,2024-07-30T14:57:01Z,"In the world of cryptocurrency, strong leadership is crucial for success. Antony Turner, the CEO of BlockDAG, brings over two decades of experience in various technology sectors, including Fintech, E… [+5248 chars]",,ReadWrite
Dean Takahashi,Movement Labs gets $160M commitment for blockchain mainnet,Movement Labs is the builder of a new blockchain network that takes advantage of the Move smart contract language.,https://venturebeat.com/games/movement-labs-gets-160m-commitment-for-blockchain-mainnet/,https://venturebeat.com/wp-content/uploads/2024/07/movement-2.jpg?w=1024?w=1200&strip=all,2024-07-30T15:00:00Z,"GamesBeat is excited to partner with Lil Snack to have customized games just for our audience! We know as gamers ourselves, this is an exciting way to engage through play with the GamesBeat content y… [+1923 chars]",,VentureBeat
Yousra Anwar Ahmed,What Happened in Crypto Today: Bullish Signals Are Finally Emerging!,"From Bitcoin bouncing back above 56K to permanent holders quietly scooping up BTCs, here is a 3-minute breakdown of everything important that happened in...",https://finance.yahoo.com/news/happened-crypto-today-bullish-signals-101605599.html,https://media.zenfs.com/en/coinmarketcap_783/872d2769b8fc1e2c4b485faa1bfad75c,2024-08-07T10:16:05Z,"What Happened in Crypto Today: Bullish Signals Are Finally Emerging!
It's been an interesting week in crypto, to put it mildly.
Just four days ago, when Bitcoin was hovering around $62K, we hinted … [+7004 chars]",,Yahoo Entertainment
,Bitcoin price crash: Why is the crypto market collapsing?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5f1ff72c-257b-4ef6-bc2a-c7c85f5106e9,,2024-08-05T14:29:22Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
Leo Schwartz,"As AI gobbles electricity, is now the time to buy unloved utility stocks?","Compared to the pricey stocks of Big Tech players like Nvidia and Microsoft, energy and electricity stocks are an affordable way to play the AI boom.",https://finance.yahoo.com/news/ai-gobbles-electricity-now-time-120000986.html,https://s.yimg.com/ny/api/res/1.2/xmKEs4ue0aZtCPrCufQGcg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/fortune_175/cab408c4cd5d187614f752431eba53b3,2024-08-04T12:00:00Z,"Ever since uttering the letters GPT became enough to summon a salivating venture capitalist, tech giants have been gobbling up electricity at the scale of small countries, consuming ever-greater powe… [+6168 chars]",,Yahoo Entertainment
Andrew R. Chow,Could a Crypto App Be the Answer for Struggling Restaurants?,"Ben Leventhal, co-founder of Eater and Resy, wants Blackbird to be a restaurant discovery app, payment system, and loyalty program.",https://time.com/7005516/crypto-ben-leventhal-blackbird-app-restaurants/,https://api.time.com/wp-content/uploads/2024/07/blackbird.jpg?quality=85&w=1200&h=628&crop=1,2024-07-31T18:52:05Z,"Since the pandemic upended dining habits, full-service restaurants have struggled to bring people back to their tables. Last year, about 4,500 more independent restaurants closed than opened, sufferi… [+10975 chars]",time,Time
"Geoffrey Skelley, Kaleigh Rogers, Nathaniel Rakich, Tia Yang","18 primaries to watch in Missouri, Michigan, Washington and Kansas","Tuesday's primary elections include notable governor, attorney general and U.S. House and Senate races in Michigan, Missouri, Washington and Kansas.",https://abcnews.go.com/538/18-primaries-watch-missouri-michigan-washington-kansas/story?id=112521481,https://i.abcnewsfe.com/a/7be6152f-0fcb-4f3b-94ac-08d06d2958e4/cori-bush-rt-jt-240802_1722636666732_hpMain_16x9.jpg?w=1600,2024-08-05T20:42:25Z,"We're getting oh so close to knowing who all the candidates on the November ballot will be, but even as the calendar has turned to August, about a third of all states still have yet to hold their pri… [+25313 chars]",abc-news,ABC News
Brooke Harrington,What a Broligarch Wants,The anti-democratic politics of having it all,https://www.theatlantic.com/ideas/archive/2024/08/tech-bro-male-billionaire-anti-democratic/679267/?utm_source=feed,,2024-08-04T10:00:00Z,"Eight years ago, the PayPal and Palantir co-founder Peter Thiel was an outlier in liberal Silicon Valley for publicly supporting Donald Trump. But now a number of prominent male tech plutocrats who p… [+8225 chars]",,The Atlantic
,Bitcoin Investors Buy Puts Aggressively,"Recent movements in the cryptocurrency market have drawn significant attention, particularly Bitcoin's volatility. After Bitcoin's price fell below $50,000, a",https://en.bitcoinhaber.net/bitcoin-investors-buy-puts-aggressively,https://en.bitcoinhaber.net/wp-content/uploads/2024/08/bitcoin-news-277.jpg,2024-08-07T08:28:23Z,"Recent movements in the cryptocurrency market have drawn significant attention, particularly Bitcoins volatility. After Bitcoins price fell below $50,000, a key volatility indicator for the cryptocur… [+2403 chars]",,Bitcoinhaber.net
Molly White,Coinbase appears to have violated campaign finance laws with 25M donation,"Actively involved in contract negotiations with a federal government agency, Coinbase was likely prohibited from making its $25 million contribution to the Fairshake crypto super PAC in May 2024.",https://www.citationneeded.news/coinbase-campaign-finance-violation/,https://www.citationneeded.news/content/images/2024/07/38826275042_ec5cde6eef_k.jpg,2024-07-30T21:21:02Z,"With $45.5 million in corporate contributions, American cryptocurrency exchange Coinbase is the largest donor to Fairshake: a newly-minted super PAC focused solely on installing political candidates … [+10647 chars]",,Citationneeded.news
,Bring Crypto Back to Currency,"The Problem Crypto becoming a commodity is the single stupidest thing to gain widespread popularity. It’s the paragon of post-neoclassical/postmodern economics. If Adam Smith saw NFTs he would shoot himself.
What I mean is that value is deconstructed to peopl…",https://rohan.ga/blog/bring-crypto-back-to_currency/,https://rohan.ga/images/share.png,2024-08-06T22:32:12Z,"The Problem
Crypto becoming a commodity is the single stupidest thing to gain widespread popularity. It’s the paragon of post-neoclassical/postmodern economics. If Adam Smith saw NFTs he would shoot… [+2310 chars]",,Rohan.ga
Phylum Research Team,70% of new NPM packages in last 6 months were spam,"Headed to Black Hat USA? Come talk to us in Start-Up City at SC203!




In April of this year, the Phylum Research Team revealed the proliferation of spam packages in npm associated with the Tea protocol, a decentralized initiative that promises to compensate…",https://blog.phylum.io/the-great-npm-garbage-patch/,https://blog.phylum.io/content/images/size/w1200/2024/08/garbage_patch.webp,2024-08-07T04:31:58Z,"Headed to Black Hat USA? Come talk to us in Start-Up City at SC203!
In April of this year, the Phylum Research Team revealed the proliferation of spam packages in npm associated with the Tea protoco… [+7577 chars]",,Phylum.io
